country,year,EUaid,CIRI,polity,educm,logexp,fdi,logimp,loggdpc,demregion,regime,region
Algeria,2003,3.775679111,4,0.75,3.799999952,3.590384007,2.017180204,3.072769403,7.504069328,0.055555556,3,Middle East and North Africa
Algeria,2004,3.844100714,4.25,2,3.900000095,3.557521343,1.866684079,3.234748125,7.535254955,0.055555556,3,Middle East and North Africa
Algeria,1997,3.108974457,5.75,-3,3.099999905,3.265559912,2.39E-05,3.367165804,7.415177822,0.055555556,3,Middle East and North Africa
Algeria,1998,3.505503178,6,-3,3.200000048,3.39318037,0.575184047,3.175746918,7.437991619,0.055555556,3,Middle East and North Africa
Algeria,1999,5.437225819,6.5,-3,3.299999952,3.430960417,0.539666951,3.060470819,7.433215618,0.055555556,3,Middle East and North Africa
Algeria,2000,2.436242104,6,-3,3.400000095,3.116991758,1.258825421,3.114230394,7.468314171,0.055555556,3,Middle East and North Africa
Algeria,2001,3.860636473,5.25,-1.75,3.5,3.288733006,0.599704623,3.164796114,7.485571384,0.055555556,3,Middle East and North Africa
Algeria,2002,4.444290161,4.25,-0.5,3.700000048,3.717839956,0.799415112,3.06125021,7.492986202,0.055555556,3,Middle East and North Africa
Algeria,1989,2.069404125,4.75,-3.25,2.200000048,2.658332825,0.005561001,2.91300869,7.551218987,0.117647059,4,Middle East and North Africa
Algeria,1990,3.295199633,4.75,-4.5,2.299999952,2.741347551,0.022031598,3.118114471,7.514338017,0.117647059,4,Middle East and North Africa
Algeria,1991,2.538053274,4.25,-5.75,2.400000095,2.925270319,0.021735257,3.35039711,7.531398296,0.117647059,4,Middle East and North Africa
Algeria,1992,2.693326473,4,-6,2.5,3.154601097,0.000539792,3.216353893,7.514114857,0.111111112,4,Middle East and North Africa
Algeria,1993,2.437567711,4.75,-5,2.599999905,3.371350527,0.025459023,3.161236763,7.477412224,0.111111112,4,Middle East and North Africa
Algeria,1994,3.903080225,4.75,-4,2.700000048,3.231578588,0.062495708,3.172600985,7.471348286,0.111111112,4,Middle East and North Africa
Algeria,1995,3.668928623,4.75,-3,2.799999952,3.081170082,2.00E-05,3.141516685,7.427370071,0.055555556,3,Middle East and North Africa
Algeria,1996,2.962175608,5.5,-3,3,3.114879847,2.35E-05,3.260160208,7.397182465,0.055555556,3,Middle East and North Africa
Angola,2004,4.04360342,5.5,-2,4.300000191,4.297751904,14.62676048,4.130319595,6.586148262,0.234042555,3,Sub-Saharan Africa
Angola,1993,4.205405235,3.25,-1.5,3.099999905,3.409934998,5.449514389,3.297804117,6.666871548,0.177777782,3,Sub-Saharan Africa
Angola,1994,3.893239975,2.5,-2,3.200000048,4.231077671,4.982460022,4.258870602,6.56324482,0.200000003,3,Sub-Saharan Africa
Angola,1998,4.215154648,3.75,-3,3.599999905,4.411669254,2.398993969,4.223909378,6.395534992,0.212765962,3,Sub-Saharan Africa
Angola,1999,4.129092216,4.25,-2.75,3.700000048,4.222510815,5.363359928,4.21634388,6.444590569,0.191489369,3,Sub-Saharan Africa
Angola,1995,4.079349041,2.5,-2.5,3.299999952,3.987156153,5.715528965,4.010172367,6.247107983,0.191489369,3,Sub-Saharan Africa
Angola,1996,4.282344341,3.25,-2.75,3.400000095,4.446850777,4.195018291,4.328760147,6.24938345,0.212765962,3,Sub-Saharan Africa
Angola,2002,3.970876217,5.5,-2,4,4.49562645,9.624302864,4.140397072,6.486970901,0.191489369,3,Sub-Saharan Africa
Angola,2003,3.986469984,5.75,-2,4.099999905,4.338955402,24.00922585,4.316746235,6.485282898,0.212765962,3,Sub-Saharan Africa
Angola,2000,3.900853872,5,-2.5,3.799999952,4.04083395,17.28373528,4.292415142,6.483671188,0.191489369,3,Sub-Saharan Africa
Angola,2001,3.514842033,5,-2.25,3.900000095,4.457807064,40.15708542,4.52935791,6.487531662,0.170212761,3,Sub-Saharan Africa
Argentina,1994,2.042370319,12.5,7,8.199999809,1.886795044,1.936790586,2.09590435,8.832406044,0.666666687,2,Latin America and Caribbean
Argentina,1997,2.942904949,12.75,7.5,8.5,2.266834259,2.173926592,2.310087442,8.879185677,0.5,2,Latin America and Caribbean
Argentina,1991,1.167657018,11.75,7,7.900000095,2.569432259,1.341390371,1.883941889,8.665795326,0.5,2,Latin America and Caribbean
Argentina,1995,1.843549967,13,7,8.300000191,1.932875752,1.179743767,2.231497049,8.87669754,0.555555582,2,Latin America and Caribbean
Argentina,1996,3.325036049,12.75,7.25,8.399999619,2.017809629,1.411953211,2.360858679,8.92059803,0.555555582,2,Latin America and Caribbean
Argentina,1990,1.439520597,12.5,7,7.800000191,2.254613876,0.908825696,1.826458097,8.758033752,0.555555582,2,Latin America and Caribbean
Argentina,2000,3.296243429,13,8,8.699999809,2.340362787,2.438768148,2.559673786,9.0126791,0.611111104,2,Latin America and Caribbean
Argentina,1992,1.45856297,11.75,7,8,2.337907553,1.29888165,1.532842398,8.627474785,0.555555582,2,Latin America and Caribbean
Argentina,1993,1.621525288,12,7,8.100000381,2.037973881,1.285578847,1.804677486,8.733021736,0.611111104,2,Latin America and Caribbean
Argentina,1999,3.141166687,12.75,8,8.600000381,2.354100466,3.127879143,2.54730773,8.986585617,0.611111104,2,Latin America and Caribbean
Argentina,1989,1.770047784,13,7,7.699999809,2.063465357,-0.017100757,2.024954319,8.798511505,0.555555582,2,Latin America and Caribbean
Argentina,1998,2.652599812,12.5,7.75,8.600000381,2.341721773,2.553203344,2.404119968,8.920657158,0.611111104,2,Latin America and Caribbean
Argentina,2003,1.622906208,13,8,9,2.444831848,0.806164265,2.323384523,8.893444061,0.666666687,2,Latin America and Caribbean
Argentina,2004,1.606450796,13,8,9.100000381,3.321059704,2.105939388,2.549446344,8.76863575,0.666666687,2,Latin America and Caribbean
Argentina,2001,2.311395884,13,8,8.800000191,2.281156063,8.460581779,2.445307016,8.967060089,0.555555582,2,Latin America and Caribbean
Argentina,2002,4.725298882,13.25,8,8.899999619,2.387428522,3.665790558,2.444021463,8.948533058,0.611111104,2,Latin America and Caribbean
Bahrain,1989,0,4.75,-10,5.099999905,4.628572941,-1.058491468,4.470495701,9.13646698,0.117647059,5,Middle East and North Africa
Bahrain,1990,0,4.75,-9.75,5.300000191,4.55742836,5.998132229,4.350205898,9.168796539,0.117647059,5,Middle East and North Africa
Bahrain,1991,0,4.75,-9.5,5.5,4.591516495,4.680938721,4.473122597,9.138795853,0.117647059,5,Middle East and North Africa
Bahrain,1992,0,4.25,-9.25,5.699999809,4.749753952,-4.319667816,4.549711704,9.151530266,0.111111112,5,Middle East and North Africa
Bahrain,1993,0,4.5,-9,5.900000095,4.442688465,13.41821766,4.560576916,9.230350494,0.111111112,5,Middle East and North Africa
Bahrain,1994,2.130088568,4.25,-9,6.099999905,4.435354233,18.28257942,4.572048187,9.269749641,0.111111112,5,Middle East and North Africa
Bahrain,1995,0,4.25,-9,6.199999809,4.42932272,-5.288191319,4.39110136,9.366727829,0.055555556,5,Middle East and North Africa
Bahrain,1996,0.00995033,4.75,-9,6.400000095,4.396832466,3.740326881,4.303861141,9.340161324,0.055555556,5,Middle East and North Africa
Bahrain,1997,0,4.5,-9,6.599999905,4.406603813,7.361126423,4.25524044,9.353823662,0.055555556,5,Middle East and North Africa
Bahrain,1998,0,4.5,-8.75,6.800000191,4.476353645,33.56601715,4.333386421,9.366152763,0.055555556,5,Middle East and North Africa
Bahrain,1999,0,5,-8.25,7,4.370419502,5.186228752,4.241403103,9.365664482,0.055555556,5,Middle East and North Africa
Bahrain,2000,0,5.25,-7.75,7.199999809,4.168271065,2.901942492,4.157091141,9.382137299,0.055555556,5,Middle East and North Africa
Bahrain,2001,0,5.75,-7.25,7.400000095,4.367765903,6.852817535,4.142570496,9.399149895,0.055555556,5,Middle East and North Africa
Bahrain,2002,0,5.25,-7,7.5,4.49352026,4.561239719,4.164956093,9.432721138,0.055555556,5,Middle East and North Africa
Bahrain,2003,0,4.75,-7,7.699999809,4.410645008,1.01348877,4.102185249,9.470950127,0.055555556,5,Middle East and North Africa
Bahrain,2004,0,4.75,-7,7.900000095,4.405789852,2.555437565,4.193247318,9.522893906,0.055555556,5,Middle East and North Africa
Bangladesh,1989,4.258131981,7.5,0.5,3.5,1.641924381,0.013477281,2.493875027,5.611475468,0.142857149,0,South Asia
Bangladesh,1990,4.871627331,7,3.25,3.5,1.727643013,0.007169782,2.541523457,5.606190681,0.285714298,0,South Asia
Bangladesh,1991,4.240101814,7.75,6,3.599999905,1.748723507,0.00092416,2.584978104,5.606139183,0.285714298,0,South Asia
Bangladesh,1992,4.202118397,7.5,6,3.599999905,1.811900139,0.010749794,2.604954481,5.638972759,0.142857149,0,South Asia
Bangladesh,1993,4.038545609,7.75,6,3.700000048,1.896512866,0.00449147,2.503665447,5.648195744,0.142857149,0,South Asia
Bangladesh,1994,4.321110249,8.5,6,3.799999952,2.02639389,0.01173758,2.513440132,5.674725056,0.142857149,0,South Asia
Bangladesh,1995,4.075687408,8.75,6,3.799999952,2.199141264,0.042361643,2.646480322,5.697658539,0,0,South Asia
Bangladesh,1996,4.724552155,8.75,6,3.900000095,2.19739604,0.03301223,2.629318714,5.716431141,0,0,South Asia
Bangladesh,1997,4.705761909,8.25,6,3.900000095,2.385512829,0.004998378,2.85329628,5.743536949,0,0,South Asia
Bangladesh,1998,4.357061863,8,6,4,2.40553236,0.033270609,2.928160429,5.768072605,0.142857149,0,South Asia
Bangladesh,1999,4.41398716,7.75,6,4,2.48435998,0.329348087,2.891381741,5.800292015,0.142857149,0,South Asia
Bangladesh,2000,4.088579178,7,6,4.099999905,2.589918375,0.431054235,2.905671597,5.831466675,0.142857149,0,South Asia
Bangladesh,2001,4.119396687,7,6,4.099999905,2.57973671,0.393186599,2.926314354,5.859790802,0.142857149,0,South Asia
Bangladesh,2002,4.168571472,7,6,4.199999809,2.637629271,0.595336378,2.956332445,5.898910522,0.142857149,0,South Asia
Bangladesh,2003,3.089500427,7,6,4.199999809,2.733185053,0.167122036,3.068069935,5.932227612,0.142857149,4,South Asia
Bangladesh,2004,3.792235136,7,3,4.300000191,2.658577919,0.11002361,2.946911573,5.957923412,0.142857149,3,South Asia
Benin,2004,3.767078638,9.75,6.5,3.099999905,2.605885267,0.481164247,3.313642263,5.879429817,0.212765962,2,Sub-Saharan Africa
Benin,1998,3.445561171,12,6,2.5,2.759368181,1.608527899,3.385201693,5.756006718,0.191489369,2,Sub-Saharan Africa
Benin,2001,1.248963118,10.25,6,2.799999952,2.781399965,1.704200029,3.361339808,5.822201252,0.148936167,2,Sub-Saharan Africa
Benin,1990,3.828908443,10.75,4.5,1.899999976,2.624939442,-4.02E-16,3.468328953,5.750350952,0.06818182,2,Sub-Saharan Africa
Benin,2003,3.202815294,10,6.25,3,2.720275879,1.849197149,3.328475475,5.867171764,0.191489369,2,Sub-Saharan Africa
Benin,1991,3.965530634,11.5,6,2,2.60235095,4.13344574,3.211042643,5.692430973,0.06818182,2,Sub-Saharan Africa
Benin,1992,3.009286404,11,6,2.099999905,2.659558296,3.380779028,3.270659447,5.693002224,0.088888891,2,Sub-Saharan Africa
Benin,2002,3.646963358,9.75,6,2.900000095,2.719980001,2.649280548,3.336395741,5.849181652,0.170212761,2,Sub-Saharan Africa
Benin,1989,3.623171806,10.5,1.25,1.799999952,2.725728273,0.006400433,3.432392597,5.744581699,0.06818182,2,Sub-Saharan Africa
Benin,2000,3.184551239,11,6,2.700000048,2.838518858,1.625667572,3.314154387,5.80435276,0.170212761,2,Sub-Saharan Africa
Benin,1996,2.868466854,11.5,6,2.400000095,3.004752159,0.9118402,3.399188995,5.718897343,0.191489369,2,Sub-Saharan Africa
Benin,1997,3.267388582,12,6,2.400000095,3.0033741,0.663374782,3.497973204,5.731878281,0.191489369,2,Sub-Saharan Africa
Benin,1999,3.358231306,11.25,6,2.599999905,2.777476549,1.252591014,3.36300993,5.78744173,0.170212761,2,Sub-Saharan Africa
Benin,1994,3.745973349,11.25,6,2.200000048,2.696502686,4.775712967,3.351716042,5.710534096,0.177777782,2,Sub-Saharan Africa
Benin,1995,2.462188244,11.5,6,2.299999952,2.626691341,0.066647954,3.334663391,5.710072994,0.170212761,2,Sub-Saharan Africa
Benin,1993,3.708527803,11,6,2.099999905,2.744035244,6.432002068,3.33573699,5.705940723,0.155555561,2,Sub-Saharan Africa
